village_id,distance_to_grid,mean_ndvi,mean_wind_speed,mean_pvout_solar_radiation,total_population,mean_biomass,building_count,permanent_building_count,educational_facilities,health_facilities,social_facilities,services,primary_roads,secondary_roads,tertiary_roads,unclassified_roads,percentage_crop_land,percentage_built_area
5501324,10784.717551286052,0.0,0.0,1635.172154017857,371.2606201171875,2.8020984991805,306,36,1,0,0,0,0,0,0,0,28.8,1.3725
5502037,21144.438178688088,0.4160136878490448,1.4464860216725424,1688.0299556213015,1170.2891845703125,2.8006687090867106,374,63,0,0,0,0,0,0,0,25,4.8975,0.1075
5502858,11763.1708601678,0.0,0.0,1679.942471590909,736.493896484375,2.4483445323004824,108,24,0,0,0,0,0,0,0,5,4.34,0.065
5502868,2635.603818638942,0.0,0.0,1668.3401692708333,400.8279113769531,2.624646969990221,208,42,1,0,0,0,0,0,0,24,20.3,0.6366666666666666
5502888,10302.989782866727,0.0,0.0,1652.68017578125,211.38616943359372,2.476921998405577,268,30,0,0,0,0,0,0,0,24,9.8875,0.1033333333333333
5502892,25151.68721848826,0.3917864561080932,1.4138227290884322,1651.1540625,351.2777099609375,2.2002822295023905,262,15,0,0,0,0,0,0,0,2,10.815,0.045
5502898,11628.618090164024,0.3971754908561706,1.4179281455822683,1656.500244140625,145.07070922851562,2.2344837990223567,362,48,1,0,0,0,0,0,0,3,16.92,2.4325
5502899,10449.317439290757,0.0,0.0,1659.0698939732142,198.64996337890625,2.303514382666969,279,21,0,0,0,0,0,0,0,1,22.293333333333333,0.4166666666666667
5502900,9183.707058740138,0.0,0.0,1656.40869140625,85.30552673339844,2.373339589617341,111,14,0,0,0,0,0,0,0,4,14.99,0.4933333333333333
5502901,12859.74886897947,0.0,0.0,1662.1158447265625,371.15814208984375,2.448926995987894,1450,40,0,0,0,0,0,0,0,3,15.7275,1.5675
5502902,29316.98556614855,0.4155911207199096,1.3902774639064348,1663.0681928294573,300.7466735839844,2.5773927147453835,235,11,1,0,0,0,0,0,0,7,15.8075,0.04
5502905,10469.208499794133,0.0,0.0,1663.330078125,1118.6168212890625,2.533471471451078,2746,199,1,1,0,0,0,0,0,1,14.095,6.279999999999999
5502906,7038.2622737244665,0.0,0.0,1659.556919642857,269.9530029296875,2.3108018726500714,426,75,1,0,0,0,0,3,0,3,15.7,0.8575
5502909,6498.996793570018,0.0,0.0,1657.034877232143,350.2284545898437,2.453001038911976,277,32,1,0,0,0,0,0,0,0,12.046666666666669,0.5275
5502921,21889.604077054024,0.0,0.0,1676.2401785714285,2538.37109375,3.1162141693670717,4108,166,0,0,0,0,0,0,0,37,5.125,1.1925
5502922,18963.864477058796,0.4355545043945312,1.3999615752199075,1678.954963235294,2625.1767578125,2.869176607841204,3692,130,0,0,0,0,0,0,0,32,5.1225000000000005,0.4925
5502932,11011.953569706968,0.0,0.0,1650.405029296875,687.2334594726562,1.7353764314160511,160,36,0,0,0,0,0,0,0,2,14.6175,0.1974999999999999
5502938,15222.694516645652,0.0,0.0,1645.634033203125,228.81930541992188,1.789079071969697,125,22,0,0,0,0,0,0,0,1,24.326666666666668,4.725
5502941,17082.000416923995,0.0,0.0,1636.2103515625,467.2109375,1.9873624181245333,203,43,0,0,0,0,0,0,0,1,20.825,1.093333333333333
5502942,13336.95182274528,0.0,0.0,1652.6768002717392,355.3428039550781,1.6787002459297864,145,25,1,0,0,0,0,0,0,0,11.795,0.615
5502944,17305.73017681107,0.3340424001216888,1.2333203595806714,1632.2212456597222,354.5379943847656,1.9097313408109169,134,16,0,0,0,0,0,0,0,0,20.077500000000004,0.96
5502952,11351.883937545776,0.0,0.0,1646.6077473958333,472.865966796875,1.7338609487668764,236,20,0,0,0,0,0,0,0,0,24.46333333333333,2.4725
5502953,11537.067732073205,0.0,0.0,1657.5045138888888,601.5194091796875,1.7366770991183358,165,21,0,0,0,0,0,0,0,5,15.625,0.2925
5502954,11124.35928938896,0.0,0.0,1660.436740451389,554.840087890625,1.7362248670810243,199,29,1,0,0,0,0,0,0,22,13.3025,0.35
5502955,6164.119209623147,0.0,0.0,1656.682861328125,314.03912353515625,1.8314125549718008,52,7,0,0,0,0,0,0,0,2,16.073333333333334,0.58
5502981,5754.792027393446,0.0,0.0,1653.7060546875,379.41986083984375,2.872279442330948,144,15,0,0,0,0,0,0,1,0,20.9,0.8325
5503050,13305.312615002957,0.0,0.0,1639.698486328125,534.5516967773438,2.831309153956004,228,32,1,0,0,0,0,0,0,0,15.626666666666663,0.68
5503092,2424.2987084115457,0.0,0.0,1648.6015625,470.25146484375,1.8085254281745289,361,33,0,0,0,0,0,0,1,0,19.13,2.306666666666666
5503112,15487.44110001698,0.0,0.0,1614.77001953125,357.53875732421875,2.214861472462582,90,3,0,0,0,0,0,0,0,0,12.429999999999998,1.4066666666666665
5503118,21652.79400147182,0.0,0.0,1585.0633138020833,312.25201416015625,2.307764012749021,145,5,0,0,0,0,0,0,0,0,14.802500000000002,0.43
5503121,24805.858626728357,0.0,0.0,1557.242919921875,360.3603820800781,2.5015636488970587,146,3,0,0,0,0,0,0,0,2,23.9625,4.4925
5503132,5328.252872779898,0.0,0.0,1643.077237215909,380.0637512207031,1.7692964471522454,123,6,0,0,0,0,0,0,1,0,15.2225,0.6633333333333334
5503134,6487.495297651283,0.0,0.0,1646.824898097826,735.2112426757812,1.7803604273495612,540,58,1,0,0,0,0,0,0,1,18.415,0.9025
5503137,3848.6847577137232,0.3262018263339996,1.141316210551359,1648.373291015625,645.0112915039062,1.6254021940331012,162,11,1,0,0,0,0,0,0,1,16.3075,2.75
5503140,11789.70513901728,0.0,0.0,1645.8579545454545,390.7322692871094,1.615864508579945,27,10,0,0,0,0,0,0,0,2,1.31,0.0225
5503142,6685.724828531893,0.0,0.0,1652.601444128788,413.4750061035156,1.9658137757210148,143,20,0,0,0,0,0,0,0,3,5.44,0.3933333333333333
5503150,1962.7483713645363,0.0,0.0,1652.3177734375,381.5099487304688,1.6351680049189814,206,47,1,0,0,0,0,0,0,0,15.8875,3.0175
5503193,14509.554552131573,0.3418930172920227,1.3649976128266912,1650.0775824652778,508.8028564453125,1.7697864281723052,250,41,0,0,0,0,0,0,0,2,18.75333333333333,2.4325
5503210,6436.594549258339,0.4243477284908294,1.4188129285682278,1665.5485101744189,304.1120300292969,3.1687565947242207,195,41,0,0,0,0,0,1,0,5,9.6375,0.0466666666666666
